id	gender	birthyear	sitelinks
23	6581097	1732	227
42	6581097	1952	113
76	6581097	1961	309
80	6581097	1955	143
91	6581097	1809	261
157	6581097	1954	162
181	6581097	1966	205
185	6581097	1968	87
186	6581097	1974	11
192	6581097	1966	139
206	6581097	1959	101
207	6581097	1946	264
254	6581097	1756	243
255	6581097	1770	246
260	6581097	1790	78
272	6581097	1888	37
296	6581097	1840	135
297	6581097	1599	140
301	6581097	1541	103
303	6581097	1935	182
306	6581097	1949	80
307	6581097	1564	236
320	6581072	1951	106
326	6581097	1942	38
329	6581097	1955	173
331	6581097	1938	46
335	6581097	1918	40
346	6581097	1214	84
352	6581097	1889	284
353	6581072	1188	43
354	6581097	1921	8
360	6581097	1971	128
368	6581097	1915	110
377	6581097	1882	89
379	6581097	1904	29
392	6581097	1941	158
400	6581072	1974	65
407	6581072	1949	48
409	6581097	1945	150
410	6581097	1934	128
440	6581097	1908	117
444	6581097	1943	166
448	6581097	1713	132
449	6581097	1921	51
464	6581097	1821	24
475	6581097	1911	42
489	6581097	1956	50
493	6581097	1854	129
498	6581097	1700	14
501	6581097	1821	165
502	6581097	1783	126
504	6581097	1840	156
512	6581097	1938	109
517	6581097	1769	255
529	6581097	1822	179
530	6581097	1956	46
535	6581097	1802	233
539	6581097	1807	115
555	6581072	1973	46
557	6581072	1946	62
558	6581097	1968	19
559	6581097	1712	18
562	6581097	1719	20
563	6581072	1939	22
567	6581072	1954	191
576	6581097	1896	34
579	6581097	1877	28
590	6581097		100
600	6581097	1973	55
603	6581097	1961	5
605	6581097	1984	14
607	6581097	1942	76
609	6581072	1656	32
615	6581097	1987	164
619	6581097	1473	185
624	6581097	1974	76
632	6581097	1899	37
633	6581097	1945	69
635	6581072	-69	134
636	6581072	1958	57
640	6581097	1969	1
651	6581097	1807	21
675	6581097	1775	109
680	6581097	1745	107
687	6581097	1622	197
692	6581097	1564	291
714	6581097	1950	81
720	6581097	1162	175
742	6581097	1639	101
747	6581097	1606	95
755	6581097	1844	103
762	6581097	1452	276
765	6581097	1926	101
767	6581097	1842	82
814	6581072	1979	23
815	6581097	1898	32
820	6581097	1888	20
835	6581097	1891	105
838	6581097		63
839	6581072	1993	7
845	6581097	1879	27
848	6581097	1868	31
849	6581097	1431	86
853	6581097	1932	85
855	6581097		241
857	6581097	1858	20
859	6581097	-427	266
862	6581097	1940	114
868	6581097	-384	273
873	6581072	1949	116
882	6581097	1889	230
885	6581097	1867	84
892	6581097	1892	171
905	6581097	1883	209
909	6581097	1899	172
913	6581097	-469	241
920	6581097	1937	18
926	6581097	1872	161
927	6581097	1927	73
930	6581097	1890	25
935	6581097	1642	271
937	6581097	1879	281
939	6581097	1798	72
946	6581097	1957	96
949	6581097	1908	88
984	6581072	1879	18
989	6581097	1920	185
991	6581097	1821	221
997	6581097	1921	105
1001	6581097	1869	249
1023	6581097	1976	2
1031	6581097	1800	76
1035	6581097	1809	242
1043	6581097	1707	191
1047	6581097	1889	163
1048	6581097	-100	268
1051	6581097	1868	25
1056	6581097	1896	44
1058	6581097	1950	127
1064	6581097	1785	91
1067	6581097	1265	239
1081	6581097		3
1124	6581097	1946	194
1145	6581097	1683	68
1149	6581072	1917	146
1151	6581097	1803	127
1178	6581097	1875	99
1189	6581097	1986	128
1192	6581097	1632	67
1203	6581097	1940	167
1217	6581097	1822	6
1220	6581097	1925	104
1224	6581097	1920	75
1225	6581097	1949	97
1228	6581097	1918	64
1230	6581097	1928	82
1233	6581097	1896	63
1235	6581097	1908	57
1238	6581097	1898	51
1240	6581097	1891	52
1241	6581097	1887	47
1242	6581097	1874	53
1245	6581097	1877	51
1253	6581097	1944	141
1254	6581097	1938	157
1257	6581097	1922	84
1259	6581097	1920	80
1260	6581097	1918	83
1264	6581097	1909	80
1267	6581097	1905	112
1268	6581097	1810	169
1271	6581097	1896	72
1275	6581097	1900	45
1276	6581097	1934	128
1290	6581097	1623	178
1294	6581097	1835	22
1298	6581097	1849	22
1300	6581097	1854	22
1316	6581097	1937	152
1317	6581097	1957	159
1318	6581097	1847	12
1319	6581097	1850	21
1320	6581097	1845	21
1322	6581097	1840	29
1323	6581097	1825	22
1324	6581097	1825	22
1325	6581097	1899	100
1326	6581097	1825	19
1327	6581097	1801	23
1328	6581097	1809	25
1329	6581097	1799	26
1330	6581097	1786	22
1331	6581097	1790	25
1332	6581097	1787	19
1333	6581097	1785	22
1339	6581097	1685	214
1340	6581097	1678	143
1381	6581097	1947	21
1394	6581097	1870	259
1395	6581097	1967	8
1398	6581097	-70	217
1399	6581097	1469	190
1401	6581097	1304	147
1402	6581097	1313	135
1403	6581097	1867	124
1405	6581097	-63	215
1407	6581097	-42	103
1409	6581097	12	114
1411	6581097	-10	94
1413	6581097	37	121
1414	6581097	-3	82
1416	6581097	32	81
1417	6581097	15	78
1419	6581097	9	100
1421	6581097	39	91
1423	6581097	51	86
1424	6581097		77
1425	6581097	53	108
1426	6581097	1981	150
1427	6581097	76	95
1429	6581097	86	85
1430	6581097	121	153
1433	6581097	130	66
1434	6581097	161	80
1436	6581097	126	70
1440	6581097	133	71
1442	6581097		84
1446	6581097	188	81
1450	6581097	1985	90
1453	6581072	1989	43
1463	6581097	1917	128
1464	6581097	1960	67
1470	6581097	1898	80
1480	6581072	1933	98
1488	6581097	1909	30
1496	6581097	1480	166
1500	6581097	1861	77
1503	6581097	1878	54
1511	6581097	1813	183
1512	6581097	1850	137
1514	6581072	1943	88
1523	6581097	-1303	87
1526	6581097		48
