id	label	lang
23	George Washington	en
42	Douglas Adams	en
76	Barack Obama	en
80	Tim Berners-Lee	en
91	Abraham Lincoln	en
157	François Hollande	en
181	Jimmy Wales	en
185	Larry Sanger	en
186	Ken Jennings	en
192	David Cameron	en
206	Stephen Harper	en
207	George W. Bush	en
254	Wolfgang Amadeus Mozart	en
255	Ludwig van Beethoven	en
260	Jean-François Champollion	en
272	Paul Morand	en
296	Claude Monet	en
297	Diego Velázquez	en
301	El Greco	en
303	Elvis Presley	en
306	Sebastián Piñera	en
307	Galileo Galilei	en
320	Michelle Bachelet	en
326	Eduardo Frei Ruiz-Tagle	en
329	Nicolas Sarkozy	en
331	Ricardo Lagos	en
335	Patricio Aylwin	en
346	Louis IX of France	en
352	Adolf Hitler	en
353	Blanche of Castile	en
354	Piet Kraak	en
360	Julian Assange	en
368	Augusto Pinochet	en
377	Yanka Kupala	en
379	František Plánička	en
392	Bob Dylan	en
400	Jenna Jameson	en
407	Linda Lovelace	en
409	Bob Marley	en
410	Carl Sagan	en
440	Salvador Allende	en
444	Lech Wałęsa	en
448	Denis Diderot	en
449	Georges Brassens	en
464	Philipp Ludwig von Seidel	en
475	Eduardo Frei Montalva	en
489	Bill Maher	en
493	Arthur Rimbaud	en
498	Ulrich Frédéric Woldemar, Comte de Lowendal	en
501	Charles Baudelaire	en
502	Stendhal	en
504	Émile Zola	en
512	Vladimir Vysotsky	en
517	Napoleon	en
529	Louis Pasteur	en
530	Ingemar Stenmark	en
535	Victor Hugo	en
539	Giuseppe Garibaldi	en
555	Rachel Maddow	en
557	Patti Smith	en
558	Hedi Slimane	en
559	Claude Bourgelat	en
562	Pierre Poivre	en
563	Brigitte Fontaine	en
567	Angela Merkel	en
576	Jorge Alessandri	en
579	Carlos Ibáñez del Campo	en
590	Luís de Camões	en
600	Ichiro Suzuki	en
603	Frédéric Taddeï	en
605	Ezra Klein	en
607	Michael Bloomberg	en
609	Kateri Tekakwitha	en
615	Lionel Messi	en
619	Nicolaus Copernicus	en
624	Alessandro Del Piero	en
632	Jean Moulin	en
633	Neil Young	en
635	Cleopatra	en
636	Kate Bush	en
640	Harald Krichel	en
651	Friedrich Theodor Vischer	en
675	André-Marie Ampère	en
680	Alessandro Volta	en
687	Molière	en
692	William Shakespeare	en
714	Stevie Wonder	en
720	Genghis Khan	en
742	Jean Racine	en
747	Pierre Corneille	en
755	Paul Verlaine	en
762	Leonardo da Vinci	en
765	Dario Fo	en
767	Stéphane Mallarmé	en
814	Coco Austin	en
815	Gabriel Gonzáles Videla	en
820	Juan Antonio Rios	en
835	Mikhail Bulgakov	en
838	Andrei Rublev	en
839	Georgina Cassar	en
845	Pedro Aguirre Cerda	en
