id	code	type	label	url
1	afwiki	wikipedia	Afrikaans Wikipedia	https://af.wikipedia.org/
2	alswiki	wikipedia	Alemannic Wikipedia	https://als.wikipedia.org/
3	amwiki	wikipedia	Amharic Wikipedia	https://am.wikipedia.org/
4	angwiki	wikipedia	Old English Wikipedia	https://ang.wikipedia.org/
5	anwiki	wikipedia	Aragonese Wikipedia	https://an.wikipedia.org/
6	arcwiki	wikipedia	Aramaic Wikipedia	https://arc.wikipedia.org/
7	arwiki	wikipedia	Arabic Wikipedia	https://ar.wikipedia.org/
8	arwikiquote	wikiquote	Arabic Wikiquote	https://ar.wikiquote.org/
9	arzwiki	wikipedia	Egyptian Arabic Wikipedia	https://arz.wikipedia.org/
10	astwiki	wikipedia	Asturian Wikipedia	https://ast.wikipedia.org/
11	aywiki	wikipedia	Aymara Wikipedia	https://ay.wikipedia.org/
12	azbwiki	wikipedia	South Azerbaijani Wikipedia	https://azb.wikipedia.org/
13	azwiki	wikipedia	Azerbaijani Wikipedia	https://az.wikipedia.org/
14	azwikiquote	wikiquote	Azerbaijani Wikiquote	https://az.wikiquote.org/
15	barwiki	wikipedia	Bavarian Wikipedia	https://bar.wikipedia.org/
16	bat_smgwiki	wikipedia	Samogitian Wikipedia	https://bat-smg.wikipedia.org/
17	bawiki	wikipedia	Bashkir Wikipedia	https://ba.wikipedia.org/
18	bclwiki	wikipedia	Central Bikol Wikipedia	https://bcl.wikipedia.org/
19	bewiki	wikipedia	Belarusian Wikipedia	https://be.wikipedia.org/
20	bewikiquote	wikiquote	Belarusian Wikiquote	https://be.wikiquote.org/
21	be_x_oldwiki	wikipedia	Taraškievica Wikipedia	https://be-tarask.wikipedia.org/
22	bgwiki	wikipedia	Bulgarian Wikipedia	https://bg.wikipedia.org/
23	bgwikiquote	wikiquote	Bulgarian Wikiquote	https://bg.wikiquote.org/
24	bgwikisource	wikisource	Bulgarian Wikisource	https://bg.wikisource.org/
25	bhwiki	wikipedia	Bihari Wikipedia	https://bh.wikipedia.org/
26	biwiki	wikipedia	Bislama Wikipedia	https://bi.wikipedia.org/
27	bnwiki	wikipedia	Bengali Wikipedia	https://bn.wikipedia.org/
28	brwiki	wikipedia	Breton Wikipedia	https://br.wikipedia.org/
29	bswiki	wikipedia	Bosnian Wikipedia	https://bs.wikipedia.org/
30	bswikiquote	wikiquote	Bosnian Wikiquote	https://bs.wikiquote.org/
31	bxrwiki	wikipedia	Buryat Wikipedia	https://bxr.wikipedia.org/
32	cawiki	wikipedia	Catalan Wikipedia	https://ca.wikipedia.org/
