id	label	lang
889	Afghanistan	fr
258	Afrique du Sud	fr
222	Albanie	fr
262	Algérie	fr
183	Allemagne	fr
228	Andorre	fr
916	Angola	fr
781	Antigua-et-Barbuda	fr
851	Arabie saoudite	fr
414	Argentine	fr
399	Arménie	fr
408	Australie	fr
40	Autriche	fr
227	Azerbaïdjan	fr
778	Bahamas	fr
398	Bahreïn	fr
902	Bangladesh	fr
244	Barbade	fr
31	Belgique	fr
242	Belize	fr
917	Bhoutan	fr
836	Birmanie	fr
184	Biélorussie	fr
750	Bolivie	fr
225	Bosnie-Herzégovine	fr
963	Botswana	fr
921	Brunei	fr
155	Brésil	fr
219	Bulgarie	fr
965	Burkina Faso	fr
967	Burundi	fr
962	Bénin	fr
424	Cambodge	fr
1009	Cameroun	fr
16	Canada	fr
1011	Cap-Vert	fr
298	Chili	fr
229	Chypre	fr
237	Cité du Vatican	fr
739	Colombie	fr
970	Comores	fr
423	Corée du Nord	fr
884	Corée du Sud	fr
800	Costa Rica	fr
224	Croatie	fr
241	Cuba	fr
1008	Côte d'Ivoire	fr
35	Danemark	fr
977	Djibouti	fr
784	Dominique	fr
29	Espagne	fr
191	Estonie	fr
1050	Eswatini	fr
712	Fidji	fr
33	Finlande	fr
142	France	fr
1000	Gabon	fr
1005	Gambie	fr
117	Ghana	fr
769	Grenade	fr
41	Grèce	fr
774	Guatemala	fr
1006	Guinée	fr
983	Guinée équatoriale	fr
1007	Guinée-Bissau	fr
734	Guyana	fr
230	Géorgie	fr
790	Haïti	fr
783	Honduras	fr
28	Hongrie	fr
668	Inde	fr
252	Indonésie	fr
796	Irak	fr
794	Iran	fr
27	Irlande	fr
189	Islande	fr
801	Israël	fr
38	Italie	fr
766	Jamaïque	fr
17	Japon	fr
810	Jordanie	fr
232	Kazakhstan	fr
114	Kenya	fr
813	Kirghizistan	fr
710	Kiribati	fr
817	Koweït	fr
819	Laos	fr
1013	Lesotho	fr
211	Lettonie	fr
822	Liban	fr
1014	Liberia	fr
1016	Libye	fr
347	Liechtenstein	fr
37	Lituanie	fr
32	Luxembourg	fr
221	Macédoine du Nord	fr
1019	Madagascar	fr
833	Malaisie	fr
1020	Malawi	fr
826	Maldives	fr
912	Mali	fr
233	Malte	fr
1028	Maroc	fr
1027	Maurice	fr
1025	Mauritanie	fr
96	Mexique	fr
217	Moldavie	fr
235	Monaco	fr
711	Mongolie	fr
236	Monténégro	fr
1029	Mozambique	fr
1030	Namibie	fr
697	Nauru	fr
811	Nicaragua	fr
1032	Niger	fr
1033	Nigeria	fr
20	Norvège	fr
664	Nouvelle-Zélande	fr
837	Népal	fr
842	Oman	fr
1036	Ouganda	fr
265	Ouzbékistan	fr
843	Pakistan	fr
695	Palaos	fr
804	Panama	fr
691	Papouasie-Nouvelle-Guinée	fr
733	Paraguay	fr
29999	Pays-Bas	fr
928	Philippines	fr
36	Pologne	fr
45	Portugal	fr
419	Pérou	fr
846	Qatar	fr
218	Roumanie	fr
756617	Royaume du Danemark	fr
145	Royaume-Uni	fr
159	Russie	fr
1037	Rwanda	fr
929	République centrafricaine	fr
786	République dominicaine	fr
971	République du Congo	fr
974	République démocratique du Congo	fr
148	République populaire de Chine	fr
763	Saint-Christophe-et-Niévès	fr
238	Saint-Marin	fr
757	Saint-Vincent-et-les-Grenadines	fr
760	Sainte-Lucie	fr
792	Salvador	fr
683	Samoa	fr
1039	Sao Tomé-et-Principe	fr
403	Serbie	fr
1042	Seychelles	fr
1044	Sierra Leone	fr
334	Singapour	fr
214	Slovaquie	fr
215	Slovénie	fr
1045	Somalie	fr
1049	Soudan	fr
958	Soudan du Sud	fr
854	Sri Lanka	fr
39	Suisse	fr
730	Suriname	fr
34	Suède	fr
858	Syrie	fr
1041	Sénégal	fr
863	Tadjikistan	fr
924	Tanzanie	fr
657	Tchad	fr
213	Tchéquie	fr
869	Thaïlande	fr
574	Timor oriental	fr
945	Togo	fr
678	Tonga	fr
754	Trinité-et-Tobago	fr
948	Tunisie	fr
874	Turkménistan	fr
43	Turquie	fr
672	Tuvalu	fr
212	Ukraine	fr
77	Uruguay	fr
686	Vanuatu	fr
717	Venezuela	fr
881	Viêt Nam	fr
805	Yémen	fr
953	Zambie	fr
954	Zimbabwe	fr
79	Égypte	fr
878	Émirats arabes unis	fr
736	Équateur	fr
986	Érythrée	fr
702	États fédérés de Micronésie	fr
30	États-Unis	fr
115	Éthiopie	fr
709	Îles Marshall	fr
685	Îles Salomon	fr
