id	label	lang
889	AF	iso_3166_1
222	AL	iso_3166_1
262	DZ	iso_3166_1
228	AD	iso_3166_1
916	AO	iso_3166_1
781	AG	iso_3166_1
414	AR	iso_3166_1
399	AM	iso_3166_1
408	AU	iso_3166_1
40	AT	iso_3166_1
227	AZ	iso_3166_1
398	BH	iso_3166_1
902	BD	iso_3166_1
244	BB	iso_3166_1
184	BY	iso_3166_1
31	BE	iso_3166_1
242	BZ	iso_3166_1
962	BJ	iso_3166_1
917	BT	iso_3166_1
750	BO	iso_3166_1
225	BA	iso_3166_1
963	BW	iso_3166_1
155	BR	iso_3166_1
921	BN	iso_3166_1
219	BG	iso_3166_1
965	BF	iso_3166_1
967	BI	iso_3166_1
424	KH	iso_3166_1
1009	CM	iso_3166_1
16	CA	iso_3166_1
1011	CV	iso_3166_1
929	CF	iso_3166_1
657	TD	iso_3166_1
298	CL	iso_3166_1
739	CO	iso_3166_1
970	KM	iso_3166_1
800	CR	iso_3166_1
224	HR	iso_3166_1
241	CU	iso_3166_1
229	CY	iso_3166_1
213	CZ	iso_3166_1
974	CD	iso_3166_1
35	DK	iso_3166_1
977	DJ	iso_3166_1
784	DM	iso_3166_1
786	DO	iso_3166_1
574	TL	iso_3166_1
736	EC	iso_3166_1
79	EG	iso_3166_1
792	SV	iso_3166_1
983	GQ	iso_3166_1
986	ER	iso_3166_1
191	EE	iso_3166_1
1050	SZ	iso_3166_1
115	ET	iso_3166_1
702	FM	iso_3166_1
712	FJ	iso_3166_1
33	FI	iso_3166_1
142	FR	iso_3166_1
1000	GA	iso_3166_1
230	GE	iso_3166_1
183	DE	iso_3166_1
117	GH	iso_3166_1
41	GR	iso_3166_1
769	GD	iso_3166_1
774	GT	iso_3166_1
1006	GN	iso_3166_1
1007	GW	iso_3166_1
734	GY	iso_3166_1
790	HT	iso_3166_1
783	HN	iso_3166_1
28	HU	iso_3166_1
189	IS	iso_3166_1
668	IN	iso_3166_1
252	ID	iso_3166_1
794	IR	iso_3166_1
796	IQ	iso_3166_1
27	IE	iso_3166_1
801	IL	iso_3166_1
38	IT	iso_3166_1
1008	CI	iso_3166_1
766	JM	iso_3166_1
17	JP	iso_3166_1
810	JO	iso_3166_1
232	KZ	iso_3166_1
114	KE	iso_3166_1
756617	DK	iso_3166_1
29999	NL	iso_3166_1
710	KI	iso_3166_1
817	KW	iso_3166_1
813	KG	iso_3166_1
819	LA	iso_3166_1
211	LV	iso_3166_1
822	LB	iso_3166_1
1013	LS	iso_3166_1
1014	LR	iso_3166_1
1016	LY	iso_3166_1
347	LI	iso_3166_1
37	LT	iso_3166_1
32	LU	iso_3166_1
1019	MG	iso_3166_1
1020	MW	iso_3166_1
833	MY	iso_3166_1
826	MV	iso_3166_1
912	ML	iso_3166_1
233	MT	iso_3166_1
709	MH	iso_3166_1
1025	MR	iso_3166_1
1027	MU	iso_3166_1
96	MX	iso_3166_1
217	MD	iso_3166_1
235	MC	iso_3166_1
711	MN	iso_3166_1
236	ME	iso_3166_1
1028	MA	iso_3166_1
1029	MZ	iso_3166_1
836	MM	iso_3166_1
697	NR	iso_3166_1
837	NP	iso_3166_1
664	NZ	iso_3166_1
811	NI	iso_3166_1
1032	NE	iso_3166_1
1033	NG	iso_3166_1
423	KP	iso_3166_1
221	MK	iso_3166_1
20	NO	iso_3166_1
842	OM	iso_3166_1
843	PK	iso_3166_1
695	PW	iso_3166_1
804	PA	iso_3166_1
691	PG	iso_3166_1
733	PY	iso_3166_1
148	CN	iso_3166_1
419	PE	iso_3166_1
928	PH	iso_3166_1
36	PL	iso_3166_1
45	PT	iso_3166_1
846	QA	iso_3166_1
971	CG	iso_3166_1
218	RO	iso_3166_1
159	RU	iso_3166_1
1037	RW	iso_3166_1
763	KN	iso_3166_1
760	LC	iso_3166_1
757	VC	iso_3166_1
683	WS	iso_3166_1
238	SM	iso_3166_1
851	SA	iso_3166_1
1041	SN	iso_3166_1
403	RS	iso_3166_1
1042	SC	iso_3166_1
1044	SL	iso_3166_1
334	SG	iso_3166_1
214	SK	iso_3166_1
215	SI	iso_3166_1
685	SB	iso_3166_1
1045	SO	iso_3166_1
258	ZA	iso_3166_1
884	KR	iso_3166_1
958	SS	iso_3166_1
29	ES	iso_3166_1
854	LK	iso_3166_1
1049	SD	iso_3166_1
730	SR	iso_3166_1
34	SE	iso_3166_1
39	CH	iso_3166_1
858	SY	iso_3166_1
1039	ST	iso_3166_1
863	TJ	iso_3166_1
924	TZ	iso_3166_1
869	TH	iso_3166_1
778	BS	iso_3166_1
1005	GM	iso_3166_1
945	TG	iso_3166_1
678	TO	iso_3166_1
754	TT	iso_3166_1
948	TN	iso_3166_1
43	TR	iso_3166_1
874	TM	iso_3166_1
672	TV	iso_3166_1
1036	UG	iso_3166_1
212	UA	iso_3166_1
878	AE	iso_3166_1
145	GB	iso_3166_1
30	US	iso_3166_1
77	UY	iso_3166_1
265	UZ	iso_3166_1
686	VU	iso_3166_1
237	VA	iso_3166_1
717	VE	iso_3166_1
881	VN	iso_3166_1
805	YE	iso_3166_1
953	ZM	iso_3166_1
954	ZW	iso_3166_1
